aid,First_Name,Last_Name,First_Year,Last_Year,n_seasons
A. Whitney Brown,A.,Whitney,1985,1991,6.0
Abby Elliott,Abby,Elliott,2008,2012,4.0
Adam Sandler,Adam,Sandler,1990,1995,5.0
Aidy Bryant,Aidy,Bryant,2012,2021,9.0
Al Franken,Al,Franken,1975,1995,11.0
Alan Zweibel,Alan,Zweibel,1975,1984,1.0
Alex Moffat,Alex,Moffat,2016,2021,5.0
Amy Poehler,Amy,Poehler,2001,2008,8.0
Ana Gasteyer,Ana,Gasteyer,1996,2007,6.0
Andrew Dismukes,Andrew,Dismukes,2017,2021,1.0
Andy Samberg,Andy,Samberg,2005,2012,7.0
Ann Risley,Ann,Risley,1976,1981,1.0
Anthony Michael Hall,Anthony,Michael,1985,1986,1.0
Beck Bennett,Beck,Bennett,2013,2021,8.0
Ben Stiller,Ben,Stiller,1989,1989,1.0
Beth Cahill,Beth,Cahill,1991,1992,1.0
Bill Hader,Bill,Hader,2005,2013,8.0
Bill Murray,Bill,Murray,1977,1980,4.0
Billy Crystal,Billy,Crystal,1984,1985,1.0
Bobby Moynihan,Bobby,Moynihan,2008,2017,9.0
Bowen Yang,Bowen,Yang,2019,2021,2.0
Brad Hall,Brad,Hall,1982,1984,2.0
Brian Doyle-Murray,Brian,Doyle-Murray,1978,1982,2.0
Brooks Wheelan,Brooks,Wheelan,2013,2014,1.0
Casey Wilson,Casey,Wilson,2008,2009,2.0
Cecily Strong,Cecily,Strong,2012,2021,9.0
Charles Rocket,Charles,Rocket,1980,1981,1.0
Cheri Oteri,Cheri,Oteri,1995,2000,5.0
Chevy Chase,Chevy,Chase,1975,1978,2.0
Chloe Fineman,Chloe,Fineman,2019,2021,2.0
Chris Elliott,Chris,Elliott,1994,1995,1.0
Chris Farley,Chris,Farley,1990,1995,5.0
Chris Kattan,Chris,Kattan,1996,2003,8.0
Chris Parnell,Chris,Parnell,1998,2006,8.0
Chris Redd,Chris,Redd,2017,2021,4.0
Chris Rock,Chris,Rock,1990,1993,3.0
Christine Ebersole,Christine,Ebersole,1981,1982,1.0
Christopher Guest,Christopher,Guest,1984,1985,1.0
Colin Jost,Colin,Jost,2006,2021,8.0
Colin Quinn,Colin,Quinn,1995,2000,5.0
Damon Wayans,Damon,Wayans,1985,1986,1.0
Dan Aykroyd,Dan,Aykroyd,1975,1979,4.0
Dan Vitale,Dan,Vitale,1985,1986,1.0
Dana Carvey,Dana,Carvey,1986,1993,7.0
Danitra Vance,Danitra,Vance,1985,1986,1.0
Darrell Hammond,Darrell,Hammond,1995,2021,14.0
David Koechner,David,Koechner,1995,1996,1.0
Dean Edwards,Dean,Edwards,2001,2003,2.0
Dennis Miller,Dennis,Miller,1985,1991,6.0
Denny Dillon,Denny,Dillon,1980,1981,1.0
Don Novello,Don,Novello,1978,1986,2.0
Eddie Murphy,Eddie,Murphy,1980,1984,4.0
Ego Nwodim,Ego,Nwodim,2018,2021,3.0
Ellen Cleghorne,Ellen,Cleghorne,1991,1995,4.0
Emily Prager,Emily,Prager,1977,1981,1.0
Finesse Mitchell,Finesse,Mitchell,2003,2006,3.0
Fred Armisen,Fred,Armisen,2002,2013,11.0
Fred Wolf,Fred,Wolf,1992,1996,2.0
Gail Matthius,Gail,Matthius,1980,1981,1.0
Garrett Morris,Garrett,Morris,1975,1980,5.0
Gary Kroeger,Gary,Kroeger,1982,1985,3.0
George Coe,George,Coe,1975,1978,1.0
Gilda Radner,Gilda,Radner,1975,1980,5.0
Harry Shearer,Harry,Shearer,1975,1985,2.0
Heidi Gardner,Heidi,Gardner,2017,2021,4.0
Horatio Sanz,Horatio,Sanz,1998,2006,8.0
Jan Hooks,Jan,Hooks,1986,1991,5.0
Jane Curtin,Jane,Curtin,1975,1980,5.0
Janeane Garofalo,Janeane,Garofalo,1994,1995,1.0
Jason Sudeikis,Jason,Sudeikis,2003,2013,9.0
Jay Mohr,Jay,Mohr,1993,1995,2.0
Jay Pharoah,Jay,Pharoah,2010,2016,6.0
Jeff Richards,Jeff,Richards,2001,2004,3.0
Jenny Slate,Jenny,Slate,2009,2010,1.0
Jerry Minor,Jerry,Minor,2000,2001,1.0
Jim Belushi,Jim,Belushi,1983,1985,2.0
Jim Breuer,Jim,Breuer,1995,1998,3.0
Jim Downey,Jim,Downey,1977,2013,1.0
Jimmy Fallon,Jimmy,Fallon,1998,2006,6.0
Joan Cusack,Joan,Cusack,1985,1986,1.0
Joe Piscopo,Joe,Piscopo,1980,1984,4.0
John Belushi,John,Belushi,1975,1979,4.0
John Milhiser,John,Milhiser,2013,2014,1.0
Jon Lovitz,Jon,Lovitz,1985,1990,5.0
Jon Rudnitsky,Jon,Rudnitsky,2015,2016,1.0
Julia Louis-Dreyfus,Julia,Louis-Dreyfus,1982,1985,3.0
Julia Sweeney,Julia,Sweeney,1990,1994,4.0
Kate McKinnon,Kate,McKinnon,2012,2021,10.0
Kenan Thompson,Kenan,Thompson,2003,2021,18.0
Kevin Nealon,Kevin,Nealon,1986,1995,9.0
Kristen Wiig,Kristen,Wiig,2005,2012,7.0
Kyle Mooney,Kyle,Mooney,2013,2021,8.0
Laraine Newman,Laraine,Newman,1975,1980,5.0
Laura Kightlinger,Laura,Kightlinger,1994,1995,1.0
Lauren Holt,Lauren,Holt,2020,2021,1.0
Laurie Metcalf,Laurie,Metcalf,1981,1981,1.0
Leslie Jones,Leslie,Jones,2014,2019,5.0
Luke Null,Luke,Null,2017,2018,1.0
Mark McKinney,Mark,McKinney,1985,1998,3.0
Martin Short,Martin,Short,1984,1985,1.0
Mary Gross,Mary,Gross,1981,1985,4.0
Matthew Laurance,Matthew,Laurance,1980,1981,1.0
Maya Rudolph,Maya,Rudolph,2000,2007,9.0
Melanie Hutsell,Melanie,Hutsell,1991,1994,3.0
Melissa Villasenor,Melissa,Villasenor,2016,2021,5.0
Michael Che,Michael,Che,2014,2021,7.0
Michael McKean,Michael,McKean,1994,1997,2.0
Michael O'Donoghue,Michael,O'Donoghue,1975,1981,1.0
Michaela Watkins,Michaela,Watkins,2008,2009,1.0
Mike Myers,Mike,Myers,1989,1995,7.0
Mike O'Brien,Mike,O'Brien,2009,2016,1.0
Mikey Day,Mikey,Day,2014,2021,5.0
Molly Shannon,Molly,Shannon,1995,2001,7.0
Morwenna Banks,Morwenna,Banks,1995,1995,1.0
Nancy Walls,Nancy,Walls,1995,1996,1.0
Nasim Pedrad,Nasim,Pedrad,2009,2014,5.0
Noel Wells,Noel,Wells,2013,2014,1.0
Nora Dunn,Nora,Dunn,1985,1990,5.0
Norm MacDonald,Norm,MacDonald,1993,1998,5.0
Pamela Stephenson,Pamela,Stephenson,1984,1985,1.0
Patrick Weathers,Patrick,Weathers,1980,1981,1.0
Paul Brittain,Paul,Brittain,2010,2012,2.0
Paul Shaffer,Paul,Shaffer,1975,1984,1.0
Pete Davidson,Pete,Davidson,2014,2021,7.0
Peter Aykroyd,Peter,Aykroyd,1979,1980,1.0
Phil Hartman,Phil,Hartman,1985,2016,8.0
Punkie Johnson,Punkie,Johnson,2020,2021,1.0
Rachel Dratch,Rachel,Dratch,1999,2006,7.0
Randy Quaid,Randy,Quaid,1985,1986,1.0
Rich Hall,Rich,Hall,1984,1985,1.0
Rob Riggle,Rob,Riggle,2004,2005,1.0
Rob Schneider,Rob,Schneider,1990,1994,4.0
Robert Downey Jr.,Robert,Downey,1985,1986,1.0
Robert Smigel,Robert,Smigel,1985,2011,2.0
Robin Duke,Robin,Duke,1981,1984,4.0
Sarah Silverman,Sarah,Silverman,1993,1994,1.0
Sasheer Zamata,Sasheer,Zamata,2014,2017,4.0
Seth Meyers,Seth,Meyers,2001,2014,13.0
Siobhan Fallon,Siobhan,Fallon,1991,1992,1.0
Taran Killam,Taran,Killam,2010,2016,6.0
Terry Sweeney,Terry,Sweeney,1981,1986,1.0
Tim Kazurinsky,Tim,Kazurinsky,1981,1984,4.0
Tim Meadows,Tim,Meadows,1991,2000,10.0
Tim Robinson,Tim,Robinson,2012,2013,1.0
Tina Fey,Tina,Fey,1997,2006,6.0
Tom Davis,Tom,Davis,1975,2003,3.0
Tom Schiller,Tom,Schiller,1975,1993,1.0
Tony Rosato,Tony,Rosato,1981,1982,2.0
Tracy Morgan,Tracy,Morgan,1996,2003,7.0
Vanessa Bayer,Vanessa,Bayer,2010,2017,7.0
Victoria Jackson,Victoria,Jackson,1986,1992,6.0
Will Ferrell,Will,Ferrell,1995,2006,7.0
Will Forte,Will,Forte,2002,2010,8.0
Yvonne Hudson,Yvonne,Hudson,1978,1984,1.0
